 MERS=(3,5,5)  GNORM=5 TV=(  6.6960  2.4545  2.4545)
      Graphite, orientated so that the "c" axis is along the "x" direction
let symmetry int
  C     0.00000000 +1   0.00000000 +1   0.00000000 +1
  C    -3.34800000 +1   0.00000000 +1   0.00000000 +1
  C    -3.34800000 +1   1.41711300 +1   0.00000000 +1
  C     0.00000000 +1  -1.41711300 +1   0.00000000 +1
  C     6.69600000 +1   0.00000000 +1   0.00000000 +1
  C     3.34800000 +1   0.00000000 +1   0.00000000 +1
  C     3.34800000 +1   1.41711300 +1   0.00000000 +1
  C     6.69600000 +1  -1.41711300 +1   0.00000000 +1
  C    13.39200000 +1   0.00000000 +1   0.00000000 +1
  C    10.04400000 +1   0.00000000 +1   0.00000000 +1
  C    10.04400000 +1   1.41711300 +1   0.00000000 +1
  C    13.39200000 +1  -1.41711300 +1   0.00000000 +1
  C     0.00000000 +1   2.12566975 +1   1.22725600 +1
  C    -3.34800000 +1   2.12566975 +1   1.22725600 +1
  C    -3.34800000 +1   3.54278275 +1   1.22725600 +1
  C     0.00000000 +1   0.70855675 +1   1.22725600 +1
  C     6.69600000 +1   2.12566975 +1   1.22725600 +1
  C     3.34800000 +1   2.12566975 +1   1.22725600 +1
  C     3.34800000 +1   3.54278275 +1   1.22725600 +1
  C     6.69600000 +1   0.70855675 +1   1.22725600 +1
  C    13.39200000 +1   2.12566975 +1   1.22725600 +1
  C    10.04400000 +1   2.12566975 +1   1.22725600 +1
  C    10.04400000 +1   3.54278275 +1   1.22725600 +1
  C    13.39200000 +1   0.70855675 +1   1.22725600 +1
  C     0.00000000 +1   4.25133950 +1   2.45451200 +1
  C    -3.34800000 +1   4.25133950 +1   2.45451200 +1
  C    -3.34800000 +1   5.66845250 +1   2.45451200 +1
  C     0.00000000 +1   2.83422650 +1   2.45451200 +1
  C     6.69600000 +1   4.25133950 +1   2.45451200 +1
  C     3.34800000 +1   4.25133950 +1   2.45451200 +1
  C     3.34800000 +1   5.66845250 +1   2.45451200 +1
  C     6.69600000 +1   2.83422650 +1   2.45451200 +1
  C    13.39200000 +1   4.25133950 +1   2.45451200 +1
  C    10.04400000 +1   4.25133950 +1   2.45451200 +1
  C    10.04400000 +1   5.66845250 +1   2.45451200 +1
  C    13.39200000 +1   2.83422650 +1   2.45451200 +1
  C     0.00000000 +1   6.37700925 +1   3.68176800 +1
  C    -3.34800000 +1   6.37700925 +1   3.68176800 +1
  C    -3.34800000 +1   7.79412225 +1   3.68176800 +1
  C     0.00000000 +1   4.95989625 +1   3.68176800 +1
  C     6.69600000 +1   6.37700925 +1   3.68176800 +1
  C     3.34800000 +1   6.37700925 +1   3.68176800 +1
  C     3.34800000 +1   7.79412225 +1   3.68176800 +1
  C     6.69600000 +1   4.95989625 +1   3.68176800 +1
  C    13.39200000 +1   6.37700925 +1   3.68176800 +1
  C    10.04400000 +1   6.37700925 +1   3.68176800 +1
  C    10.04400000 +1   7.79412225 +1   3.68176800 +1
  C    13.39200000 +1   4.95989625 +1   3.68176800 +1
  C     0.00000000 +1   8.50267900 +1   4.90902400 +1
  C    -3.34800000 +1   8.50267900 +1   4.90902400 +1
  C    -3.34800000 +1   9.91979200 +1   4.90902400 +1
  C     0.00000000 +1   7.08556600 +1   4.90902400 +1
  C     6.69600000 +1   8.50267900 +1   4.90902400 +1
  C     3.34800000 +1   8.50267900 +1   4.90902400 +1
  C     3.34800000 +1   9.91979200 +1   4.90902400 +1
  C     6.69600000 +1   7.08556600 +1   4.90902400 +1
  C    13.39200000 +1   8.50267900 +1   4.90902400 +1
  C    10.04400000 +1   8.50267900 +1   4.90902400 +1
  C    10.04400000 +1   9.91979200 +1   4.90902400 +1
  C    13.39200000 +1   7.08556600 +1   4.90902400 +1
  C     0.00000000 +1   2.12566950 +1  -1.22725586 +1
  C    -3.34800000 +1   2.12566950 +1  -1.22725586 +1
  C    -3.34800000 +1   3.54278250 +1  -1.22725586 +1
  C     0.00000000 +1   0.70855650 +1  -1.22725586 +1
  C     6.69600000 +1   2.12566950 +1  -1.22725586 +1
  C     3.34800000 +1   2.12566950 +1  -1.22725586 +1
  C     3.34800000 +1   3.54278250 +1  -1.22725586 +1
  C     6.69600000 +1   0.70855650 +1  -1.22725586 +1
  C    13.39200000 +1   2.12566950 +1  -1.22725586 +1
  C    10.04400000 +1   2.12566950 +1  -1.22725586 +1
  C    10.04400000 +1   3.54278250 +1  -1.22725586 +1
  C    13.39200000 +1   0.70855650 +1  -1.22725586 +1
  C     0.00000000 +1   4.25133925 +1   0.00000014 +1
  C    -3.34800000 +1   4.25133925 +1   0.00000014 +1
  C    -3.34800000 +1   5.66845225 +1   0.00000014 +1
  C     0.00000000 +1   2.83422625 +1   0.00000014 +1
  C     6.69600000 +1   4.25133925 +1   0.00000014 +1
  C     3.34800000 +1   4.25133925 +1   0.00000014 +1
  C     3.34800000 +1   5.66845225 +1   0.00000014 +1
  C     6.69600000 +1   2.83422625 +1   0.00000014 +1
  C    13.39200000 +1   4.25133925 +1   0.00000014 +1
  C    10.04400000 +1   4.25133925 +1   0.00000014 +1
  C    10.04400000 +1   5.66845225 +1   0.00000014 +1
  C    13.39200000 +1   2.83422625 +1   0.00000014 +1
  C     0.00000000 +1   6.37700900 +1   1.22725614 +1
  C    -3.34800000 +1   6.37700900 +1   1.22725614 +1
  C    -3.34800000 +1   7.79412200 +1   1.22725614 +1
  C     0.00000000 +1   4.95989600 +1   1.22725614 +1
  C     6.69600000 +1   6.37700900 +1   1.22725614 +1
  C     3.34800000 +1   6.37700900 +1   1.22725614 +1
  C     3.34800000 +1   7.79412200 +1   1.22725614 +1
  C     6.69600000 +1   4.95989600 +1   1.22725614 +1
  C    13.39200000 +1   6.37700900 +1   1.22725614 +1
  C    10.04400000 +1   6.37700900 +1   1.22725614 +1
  C    10.04400000 +1   7.79412200 +1   1.22725614 +1
  C    13.39200000 +1   4.95989600 +1   1.22725614 +1
  C     0.00000000 +1   8.50267875 +1   2.45451214 +1
  C    -3.34800000 +1   8.50267875 +1   2.45451214 +1
  C    -3.34800000 +1   9.91979175 +1   2.45451214 +1
  C     0.00000000 +1   7.08556575 +1   2.45451214 +1
  C     6.69600000 +1   8.50267875 +1   2.45451214 +1
  C     3.34800000 +1   8.50267875 +1   2.45451214 +1
  C     3.34800000 +1   9.91979175 +1   2.45451214 +1
  C     6.69600000 +1   7.08556575 +1   2.45451214 +1
  C    13.39200000 +1   8.50267875 +1   2.45451214 +1
  C    10.04400000 +1   8.50267875 +1   2.45451214 +1
  C    10.04400000 +1   9.91979175 +1   2.45451214 +1
  C    13.39200000 +1   7.08556575 +1   2.45451214 +1
  C     0.00000000 +1  10.62834850 +1   3.68176814 +1
  C    -3.34800000 +1  10.62834850 +1   3.68176814 +1
  C    -3.34800000 +1  12.04546150 +1   3.68176814 +1
  C     0.00000000 +1   9.21123550 +1   3.68176814 +1
  C     6.69600000 +1  10.62834850 +1   3.68176814 +1
  C     3.34800000 +1  10.62834850 +1   3.68176814 +1
  C     3.34800000 +1  12.04546150 +1   3.68176814 +1
  C     6.69600000 +1   9.21123550 +1   3.68176814 +1
  C    13.39200000 +1  10.62834850 +1   3.68176814 +1
